ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
AL0000029355,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1999,,,,
AL0000033191,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/18/1998,,,,
AL0000050187,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/06/1998,,,,
AL0000050310,AL,1,AL115,WARNING LETTER,S  ,02/28/2011,,,,
AL0000057208,AL,1,AL115,WARNING LETTER,S  ,10/03/2013,,,,
AL0000077024,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,01/11/2006,,17500,,
AL0000077024,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/19/1995,,,,
AL0000196758,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/09/1998,,,,
AL0000203638,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/11/1994,,,,
AL0000233536,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/20/2004,,,,
AL0000266726,AL,1,AL115,WARNING LETTER,S  ,08/14/2008,,,,
AL0000364661,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/19/1993,,,,
AL0000593061,AL,1,HQ610,FINAL CIVIL JUDICIAL ACTION FOR COMPLIANCE AND/OR MONETARY PENALTY,E  ,03/07/2006,,83049,,
AL0000629469,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/05/1997,,,,
AL0000738120,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/24/1994,,,,
AL0000859421,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/07/1996,,,,
AL0000879205,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/01/1994,,,,
AL0000879387,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/07/2003,,,,
AL0000964718,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/11/2005,,,,
AL0000998013,AL,1,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/01/2001,,,,
AL0000998013,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
AL0001013317,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1999,,,,
AL0001019488,AL,1,AL115,WARNING LETTER,S  ,07/06/2006,,,,
AL0570024182,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/24/2013,,,,
AL1800013863,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,11/25/1986,,,,
AL1800013863,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/23/2002,,,,
AL1800013863,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,04/11/2014,,31125,,
AL1800013863,AL,2,HQ120,WRITTEN INFORMAL ,E  ,09/23/1986,,,,
AL1800013863,AL,7,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,09/23/1986,,,,
AL2640090005,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/16/1990,,,,
AL2640090005,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/23/1991,,,,
AL2640090005,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/31/1992,,,,
AL2640090005,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/24/1994,,,,
AL2640090005,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/19/1995,,,87577,87577
AL2690320435,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/14/1985,,,,
AL3210020027,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/03/2006,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/12/2006,,,,
AL3210020027,AL,1,AL115,WARNING LETTER,S  ,04/17/2006,,,,
AL3210020027,AL,1,AL115,WARNING LETTER,S  ,12/12/2007,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,03/03/2008,,,,
AL3210020027,AL,1,AL115,WARNING LETTER,S  ,07/21/2010,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/19/2010,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,03/27/2012,,,,
AL3210020027,AL,1,AL115,WARNING LETTER,S  ,08/24/2012,,,,
AL3210020027,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/13/1995,,,,
AL3210020027,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/25/1997,,,,
AL3640090004,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,04/30/2012,,,,
AL3640090004,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,06/11/1997,,,100000,
AL4210020562,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/13/1987,,,,
AL4210020562,AL,1,HQ320,FINAL IMMINENT HAZARD ORDER,S  ,07/30/2004,,,,
AL4210020562,AL,6,HQ120,WRITTEN INFORMAL ,S  ,07/18/1989,,,,
AL6210020776,AL,5,HQ120,WRITTEN INFORMAL ,S  ,12/19/1988,,,,
AL6210020776,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/28/1999,,,,
AL7210020742,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/05/2002,,,,
AL7210020742,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/23/2004,,,,
AL7210020742,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/01/2011,,,,
AL7210020742,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/01/1999,,,,
AL8180090039,AL,1,AL115,WARNING LETTER,S  ,09/02/2009,,,,
ALD000608216,AL,1,AL115,WARNING LETTER,S  ,08/07/2012,,,,
ALD000608216,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/19/1991,,,,
ALD000613802,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/26/1988,,,,
ALD000613802,AL,2,HQ120,WRITTEN INFORMAL ,S  ,07/17/1990,,,,
ALD000615583,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/27/1992,,,,
ALD000615625,AL,1,AL115,WARNING LETTER,S  ,08/28/2009,,,,
ALD000622464,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/10/2000,,,,
ALD000622464,AL,1,AL213,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/05/2002,15000,,,
ALD000622464,AL,1,HQ120,WRITTEN INFORMAL ,S  ,06/16/2014,,,,
ALD000622464,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/19/2017,,,,
ALD000622464,AL,1,AL115,WARNING LETTER,S  ,01/14/2019,,,,
ALD000622464,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/01/1992,,,,
ALD000622464,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/07/1994,,,,
ALD000622464,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/05/1995,,,,
ALD000622464,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/24/1998,,,,
ALD000622464,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/01/1999,,,,
ALD000622860,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/11/1995,,,,
ALD000648014,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/28/2003,,,,
ALD000648014,AL,1,AL115,WARNING LETTER,S  ,09/25/2009,,,,
ALD000653022,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/28/1987,,,,
ALD000653303,AL,4,HQ120,WRITTEN INFORMAL ,S  ,03/05/1990,,,,
ALD000653303,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/01/1991,,,,
ALD000653352,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/23/1996,,,,
ALD000737288,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,11/20/2002,,,,
ALD000737288,AL,1,AL115,WARNING LETTER,S  ,07/09/2012,,,,
ALD000737478,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/18/1995,,,,
ALD000771949,AL,5,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,03/30/1990,30000,30000,,
ALD000771949,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/29/1987,,,,
ALD000771949,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/02/1990,,,,
ALD000771949,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/21/1998,,,,
ALD000823344,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/21/2001,,,,
ALD000823344,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/21/1998,,,,
ALD000826958,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/31/2002,,,,
ALD000826958,AL,1,AL115,WARNING LETTER,S  ,07/09/2014,,,,
ALD000826958,AL,2,HQ120,WRITTEN INFORMAL ,S  ,06/05/1989,,,,
ALD000826958,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/20/1997,,,,
ALD000827147,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/06/1991,,,,
ALD000827154,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/10/1988,,,,
ALD000827154,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/11/2001,,,,
ALD000827154,AL,1,AL115,WARNING LETTER,S  ,09/28/2010,,,,
ALD000827154,AL,2,HQ120,WRITTEN INFORMAL ,S  ,09/23/1988,,,,
ALD000827154,AL,7,HQ120,WRITTEN INFORMAL ,S  ,05/28/1990,,,,
ALD000828848,AL,1,HQ340,FINAL 3008(H) I.S. CA ORDER,E  ,09/24/2012,,,,
ALD000828848,AL,1,HQ340,FINAL 3008(H) I.S. CA ORDER,E  ,08/10/2016,,,,
ALD000828848,AL,22,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,09/29/1989,,,,
ALD000828848,AL,APT,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,01/13/1984,,,,
