ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
ALD983185422,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,01/21/1993,N  
ALD004012050,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/28/2015,N  
ALD046479523,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/01/2015,N  
ALR000025486,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/24/2016,N  
ALD983180597,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/07/1992,N  
ALD983182031,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/17/1992,N  
ALD983182031,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/03/1992,N  
ALD983182064,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/11/1992,N  
ALD983182163,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,11/01/1996,N  
ALD983184284,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,08/03/1992,N  
ALD981475601,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/17/1995,N  
ALD981867062,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/10/1992,N  
ALD981867062,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/20/1995,N  
AL7210020742,AL,1,FSD,Facility Self Disclosure,S  ,02/26/2016,Y  
AL7210020742,AL,1,FSD,FACILITY SELF DISCLOSURE,S  ,02/26/2016,Y  
AL7210020742,AL,1,FSD,FACILITY SELF DISCLOSURE,S  ,02/26/2016,Y  
AL7210020742,AL,1,FSD,FACILITY SELF DISCLOSURE,S  ,02/26/2016,Y  
ALD004019642,AL,1,FRR,FINANCIAL RECORD REVIEW,S  ,01/04/2007,N  
ALD983172602,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/30/1996,N  
ALD983176405,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,11/03/1993,N  
ALD983179219,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/19/1992,N  
ALD983179219,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/06/1995,N  
ALD983179466,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/10/1993,N  
ALD983180597,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,01/23/1992,N  
ALD004019642,AL,1,FRR,FINANCIAL RECORD REVIEW,S  ,09/10/2007,Y  
ALD058223371,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/28/1995,N  
ALD067119966,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,E  ,08/31/1992,N  
ALD070513767,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,04/02/1997,N  
ALD071951628,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/11/1992,N  
ALD077640001,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/11/1992,N  
ALD081391492,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/28/1997,N  
AL7210020742,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,11/25/1996,N  
ALD000622464,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/14/1992,N  
ALD000622464,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,07/25/1994,N  
ALD000622464,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/16/1995,N  
ALD000622464,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,05/02/1996,N  
ALD000653303,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/11/1992,N  
ALD053360897,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/30/1992,N  
ALD053360897,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/23/1993,N  
ALD058036054,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,04/20/1993,N  
ALD981469992,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/23/1994,N  
ALD981469992,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/24/1994,N  
ALR000059816,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/03/2016,Y  
ALD000622464,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/02/2016,N  
ALD004009403,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/03/1994,N  
ALD004011342,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/11/1994,N  
ALD004014973,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,01/13/1993,N  
ALD094476793,AL,1,FRR,FINANCIAL RECORD REVIEW,S  ,10/10/2007,N  
ALD983193319,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/14/1996,N  
ALD983193434,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/26/1997,N  
ALD983195512,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/14/1993,N  
ALR000002238,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/09/1996,N  
ALR000003467,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/18/1996,N  
ALD004017901,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/31/1992,N  
ALD004019048,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,05/30/1997,N  
ALD004019485,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/19/1995,N  
ALD004023164,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,07/14/1993,N  
ALD004025235,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,07/24/1992,N  
ALD003397569,AL,1,FRR,FINANCIAL RECORD REVIEW,S  ,09/11/2007,Y  
ALD031490501,AL,1,FRR,FINANCIAL RECORD REVIEW,S  ,10/10/2007,N  
ALD057226904,AL,1,FRR,FINANCIAL RECORD REVIEW,S  ,10/10/2007,N  
ALR000014985,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/26/2007,N  
ALD000826958,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/13/1992,N  
ALD000827154,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,E  ,10/13/1995,N  
ALD001221902,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,11/30/1992,N  
ALD002904506,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/26/1992,N  
ALD002904506,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/06/1996,N  
ALD003397478,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/04/1996,N  
ALD004002077,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,07/01/1996,N  
ALD004009403,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/05/1991,N  
ALD981868466,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,07/01/1992,N  
ALD982097073,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/02/1996,N  
ALD982111494,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,08/31/1993,N  
ALD982167678,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,01/07/1993,N  
ALD004488169,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,07/17/1992,N  
ALD008161176,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/15/1991,N  
ALD020852422,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/16/1991,N  
ALD020852422,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/24/1992,N  
