ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
ALR000036319,COFFEEVILLE HIGH SCHOOL,AL,------,VSQG,HIGHWAY 69 NORTH,COFFEEVILLE,AL,36524,,,3,N  ,H----,------         
ALR000036426,BIBB COUNTY HIGH SCHOOL,AL,------,VSQG,220 BIRMINGHAM ROAD,CENTREVILLE,AL,35042,,,3,N  ,H----,------         
ALR000037655,OPUS SOUTH CONSTRUCTION CORP,AL,------,Other,1300 8TH AVENUE NORTH,BIRMINGHAM,AL,35203,,,,N  ,-----,------         
ALR000032060,MILLBROOK POOL AND SPA,AL,------,VSQG,4871 MAIN STREET,MILLBROOK,AL,36054,,,3,N  ,H----,------         
ALD983195074,MONTGOMERY AREA TRANSIT SYSTEM,AL,------,Other,701 NORTH MCDONOUGH STREET,MONTGOMERY,AL,36104,32.385508,-86.30514,N  ,N  ,-----,------         
ALD981748452,FORMER MAYFIELD CLEANERS,AL,------,Other,1811 28TH AVE SOUTH,HOMEWOOD,AL,35209,33.481366,-86.791351,,N  ,-----,------         
ALD983179680,WALLACE COMM COLLEGE AVIATION CAMPUS,AL,------,VSQG,3405 US 231 SOUTH,OZARK,AL,36360,,,3,N  ,H----,------         
ALR000028803,MARSHALL CO DISTRICT 1 SHOP,AL,------,Other,3850 EDDY SCANT CITY ROAD,ARAB,AL,35016,,,,N  ,-----,------         
ALR000028720,BROOK'S TRACTOR,AL,------,Other,1788 COUNTY ROAD #8,TROY,AL,36081,,,,N  ,-----,------         
ALD983167933,KADANT BLACK CLAWSON,AL,------,SQG,5890 I-10 INDUSTRIAL PARKWAY WEST,THEODORE,AL,36582,30.568148,-88.17837,2,N  ,H----,------         
ALR000038125,BD & S SERVICES INC,AL,------,VSQG,398 WEST CLAIBORNE STREET,MONROEVILLE,AL,36460,,,3,N  ,H----,------         
ALR000058867,"ALAFAB, INC",AL,------,VSQG,770 PIERCE RD,MOBILE,AL,36608,,,3,N  ,H----,------         
ALR000024703,GENERAL SHALE PRODUCTS LLC PLANT 18,AL,------,VSQG,13207 SOUTH MEMORIAL PKWY,HUNTSVILLE,AL,35803,,,3,N  ,H----,------         
ALD078960069,GEORGE C WALLACE COMM COLLEGE,AL,------,VSQG,1141 WALLACE DRIVE,DOTHAN,AL,36303,,,3,N  ,H----,------         
ALR000029322,JEFFERSON STATE COMM COLLEGE - SCRUSHY,AL,------,VSQG,4600 VALLEYDALE ROAD,BIRMINGHAM,AL,35242,,,3,N  ,H----,------         
