ID_NUMBER,ACTIVITY_LOCATION,NAICS_CODE
MAR000502138,AL    ,484122
CTR000506162,AL    ,56291
NYD049178296,AL    ,48411
NYD049178296,AL    ,49311
NJD071629976,AL    ,48411
PAD987358587,AL    ,484121
PAR000523654,AL    ,562112
ALR000029975,AL    ,811191
ALR000053009,AL    ,23832
ALD982098121,AL    ,42183
ALD981923261,AL    ,44112
ALD981923261,AL    ,44111
ALD982109563,AL    ,313311
ALD983180399,AL    ,333319
ALD983178245,AL    ,44111
ALD983193343,AL    ,811121
ALR000012351,AL    ,334418
ALD982141897,AL    ,811121
ALR000052373,AL    ,44611
ALR000002956,AL    ,811113
ALR000025882,AL    ,33251
ALD008149429,AL    ,325180
ALD981476963,AL    ,81231
ALD000388249,AL    ,325314
ALR000007682,AL    ,81232
AL0000364687,AL    ,811118
ALD079126231,AL    ,44132
ALR000013672,AL    ,332116
ALD983174939,AL    ,44131
ALD003276854,AL    ,321114
ALR000013888,AL    ,562111
ALD102089760,AL    ,81112
ALR000006429,AL    ,452311
ALD981758188,AL    ,332322
ALD980509350,AL    ,331314
ALR000044388,AL    ,49221
ALR000029710,AL    ,811191
ALR000051524,AL    ,44611
ALR000029678,AL    ,61121
ALD004401717,AL    ,811121
ALD004009403,AL    ,321114
ALD982144883,AL    ,44112
ALD082060146,AL    ,22111
ALD000648014,AL    ,42471
ALR000033134,AL    ,811111
ALR000046359,AL    ,611512
ALD004010880,AL    ,32312
ALR000053736,AL    ,11234
ALR000026393,AL    ,221121
ALR000034694,AL    ,92112
ALR000025221,AL    ,81111
ALR000009175,AL    ,311615
ALR000000059,AL    ,48621
AL7640006675,AL    ,221112
ALR000010421,AL    ,811121
ALD983168394,AL    ,44131
ALD982096554,AL    ,811310
ALD067129676,AL    ,333415
ALD003397908,AL    ,333291
ALD982143422,AL    ,33992
ALR000020537,AL    ,44111
ALR000040758,AL    ,331511
AL0001001957,AL    ,811192
ALR000039552,AL    ,541921
ALR000028100,AL    ,482111
ALR000006478,AL    ,45211
ALD000622829,AL    ,331111
ALD095705588,AL    ,811118
ALR000052381,AL    ,446110
ALR000035378,AL    ,61111
ALD095700662,AL    ,33991
ALR000050914,AL    ,811191
ALD983185117,AL    ,488991
ALR000052811,AL    ,44611
ALR000017939,AL    ,23411
ALR000051060,AL    ,811191
ALR000051060,AL    ,44132
ALD004019642,AL    ,56291
ALR000053660,AL    ,446110
ALR000052522,AL    ,446110
ALD087629812,AL    ,325312
ALR000015321,AL    ,321113
ALR000034645,AL    ,61111
ALR000048256,AL    ,811111
ALD008163388,AL    ,32518
ALD983178278,AL    ,33651
ALD983193921,AL    ,48621
ALR000052878,AL    ,44611
ALD983169798,AL    ,44611
ALD046481032,AL    ,331492
ALR000053835,AL    ,62211
ALD983168162,AL    ,811121
ALD981860398,AL    ,811121
ALR000050765,AL    ,811121
ALD067128942,AL    ,44111
ALD114304991,AL    ,212324
ALD983171224,AL    ,42271
ALR000033019,AL    ,44131
ALR000015636,AL    ,32731
ALR000052324,AL    ,44611
ALD061149712,AL    ,42469
ALR000040048,AL    ,331521
ALR000039966,AL    ,33635
ALR000052076,AL    ,44611
AL0000319202,AL    ,45111
ALD983193244,AL    ,332813
ALR000049783,AL    ,332996
ALD981023583,AL    ,92811
ALR000033274,AL    ,562212
ALR000003582,AL    ,326199
ALR000033357,AL    ,811191
ALD150575504,AL    ,48-49
ALD047865175,AL    ,332311
ALD981757784,AL    ,81111
ALD981476500,AL    ,81232
ALR000018580,AL    ,81111
ALR000029702,AL    ,92612
ALR000009142,AL    ,81111
ALR000050807,AL    ,336411
ALR000009068,AL    ,81232
ALD983178344,AL    ,32311
ALD983176603,AL    ,333923
ALR000030684,AL    ,44111
ALR000003459,AL    ,81119
ALR000017038,AL    ,811118
ALR000016170,AL    ,81111
ALR000017798,AL    ,332312
ALR000015719,AL    ,21232
ALD000645457,AL    ,322121
ALR000031278,AL    ,532412
ALR000002709,AL    ,811111
ALR000029082,AL    ,611310
ALD983171471,AL    ,44111
ALR000036467,AL    ,44132
ALD981869712,AL    ,54138
ALD149984148,AL    ,44131
ALR000003343,AL    ,452111
ALD983173865,AL    ,92811
ALR000001008,AL    ,488999
ALD983191883,AL    ,811111
ALD983183203,AL    ,32213
AL0000050187,AL    ,423830
ALD983169160,AL    ,44131
ALR000049353,AL    ,562112
ALR000049312,AL    ,562112
ALR000001842,AL    ,326199
ALD003395043,AL    ,33211
ALR000027045,AL    ,44131
ALR000034546,AL    ,23411
ALD057204778,AL    ,562111
ALD983168063,AL    ,81111
ALD981479173,AL    ,49221
ALR000038687,AL    ,44132
ALR000014563,AL    ,811198
ALR000023838,AL    ,45291
AL0000050310,AL    ,811113
ALD981860711,AL    ,811111
ALR000017202,AL    ,811118
ALR000039420,AL    ,811191
ALR000009100,AL    ,332312
ALR000027151,AL    ,811198
ALR000034686,AL    ,811111
ALD983182452,AL    ,42291
ALD983195363,AL    ,48621
ALR000049858,AL    ,42393
ALD983174012,AL    ,811118
ALD981023310,AL    ,92811
ALR000018630,AL    ,811111
ALR000044917,AL    ,44112
ALR000005728,AL    ,81131
ALD031493414,AL    ,812331
ALD981476799,AL    ,44131
ALD983195033,AL    ,811111
ALD983180639,AL    ,44131
ALD981023245,AL    ,92811
ALD982143083,AL    ,237310
ALD983194945,AL    ,81111
ALR000049031,AL    ,482111
ALD983175142,AL    ,811121
ALR000014233,AL    ,621511
ALD983167891,AL    ,42393
ALD981757834,AL    ,81231
ALR000045047,AL    ,33231
ALR000045047,AL    ,332721
AL0000971713,AL    ,53212
ALD004017901,AL    ,562211
ALR000005413,AL    ,452311
ALR000017467,AL    ,811111
ALR000022608,AL    ,53212
ALR000001388,AL    ,811111
ALD983173899,AL    ,23899
ALR000024208,AL    ,48621
ALR000015081,AL    ,322211
ALD063665723,AL    ,336399
ALD982116303,AL    ,811121
ALD983185513,AL    ,811111
ALD063671093,AL    ,339113
ALD983177841,AL    ,44112
ALD007960255,AL    ,811112
ALD007960255,AL    ,811111
ALD980846059,AL    ,81149
ALR000049973,AL    ,53249
ALD000652578,AL    ,321113
ALD983176256,AL    ,811118
ALR000020354,AL    ,311615
ALR000008805,AL    ,423510
ALD047107784,AL    ,44111
ALR000018598,AL    ,811191
ALR000043810,AL    ,81232
ALR000032839,AL    ,81131
ALR000053520,AL    ,23832
ALR000043422,AL    ,325180
ALR000026369,AL    ,44111
ALR000018879,AL    ,488490
ALR000019380,AL    ,44111
ALR000008813,AL    ,811111
ALR000025445,AL    ,81111
ALR000025445,AL    ,44111
ALD078980059,AL    ,81149
ALD983166042,AL    ,332812
ALR000001339,AL    ,332999
ALR000010504,AL    ,481111
ALR000045849,AL    ,44421
ALD052813631,AL    ,323113
ALD098845183,AL    ,339920
ALR000004069,AL    ,336611
ALR000045054,AL    ,33281
ALD983178054,AL    ,811113
ALR000035733,AL    ,48849
ALR000032243,AL    ,45291
ALR000005892,AL    ,322212
ALR000012872,AL    ,811191
ALD144584265,AL    ,811191
ALD981476914,AL    ,323122
ALR000018663,AL    ,811118
ALR000043026,AL    ,23832
ALR000035444,AL    ,61111
ALD983169145,AL    ,4841
ALR000011312,AL    ,44111
ALR000001024,AL    ,314129
ALR000049080,AL    ,326299
ALR000050153,AL    ,562111
ALD982133068,AL    ,336211
ALR000011098,AL    ,324191
ALD983179946,AL    ,44131
ALD031488901,AL    ,811111
ALD983169129,AL    ,4471
ALD034054015,AL    ,324121
ALR000040402,AL    ,23731
ALR000012914,AL    ,5133
ALR000038810,AL    ,92216
ALR000040519,AL    ,562111
ALD982098188,AL    ,81232
ALD981754237,AL    ,453998
AL0000194571,AL    ,811191
ALR000017517,AL    ,811118
ALR000029827,AL    ,811111
ALR000012302,AL    ,49311
ALR000035287,AL    ,61111
ALR000047944,AL    ,811111
ALD983168378,AL    ,811111
ALD983180027,AL    ,811198
AL0000899849,AL    ,811191
ALD982096497,AL    ,44131
ALD004010468,AL    ,32518
ALD067110353,AL    ,324122
AL0000942292,AL    ,332312
ALD981023179,AL    ,81111
ALR000037085,AL    ,32732
ALD981920465,AL    ,333995
ALD982138737,AL    ,32311
ALD982094062,AL    ,312111
ALD983192055,AL    ,484121
ALR000046730,AL    ,324191
ALR000002691,AL    ,333913
ALR000030486,AL    ,322211
ALD008161861,AL    ,23891
ALD983177205,AL    ,32311
AL0000058693,AL    ,321113
ALR000025080,AL    ,333922
ALR000044156,AL    ,811191
ALR000045187,AL    ,325611
ALR000045690,AL    ,44412
ALD981478548,AL    ,811111
ALD982135733,AL    ,332812
ALD983193905,AL    ,486210
ALR000037457,AL    ,44611
