ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
ALD004001715,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/09/2000,01/10/2001,
ALD004001715,AL,268.A,Land Disposal Restrictions: General,S  ,03/09/2000,01/10/2001,02/09/2001
ALD004001715,AL,268.A,Land Disposal Restrictions: General,S  ,03/09/2000,01/10/2001,
AL3210020027,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,07/18/2002,09/16/2002,
ALN960701000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/01/1996,10/23/1996,08/31/1996
ALN960126000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,01/24/1996,09/11/1996,05/21/1996
ALN940421000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/21/1994,06/09/1994,06/23/1994
ALN961001000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/01/1996,02/05/1997,
ALD983178187,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/19/1999,05/24/1999,05/19/1999
AL0000058578,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/29/1998,12/29/1998,12/29/1998
ALR000010132,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/01/1998,08/03/1998,07/31/1998
ALD983176405,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/12/1998,06/16/1998,07/06/1998
ALD983166307,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/01/1990,01/02/1991,11/08/1990
ALD983170010,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,06/22/1998,08/31/1998,07/22/1998
ALD982123184,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,08/06/2015,08/06/2015,09/07/2015
ALD982123184,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,08/06/2015,08/06/2015,09/07/2015
AL0000898122,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/23/1994,05/04/1994,05/05/1994
ALD983176173,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,08/07/1996,09/06/1996,09/07/1996
ALD980603641,AL,262.A,Standards Applicable to Generators of HW: General,E  ,02/27/1996,02/28/1996,
ALD980708036,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/29/1999,12/20/2001,
ALD094472651,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/30/1996,06/07/1996,06/23/1996
AL2690320435,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/29/1992,07/07/1992,06/29/1992
ALD000737304,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,03/19/1998,04/29/1998,04/20/1998
ALD008163388,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,11/20/1991,02/14/1992,01/27/1992
ALD008181224,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,03/19/1998,04/03/1998,04/20/1998
AL7640006675,AL,262.A,Standards Applicable to Generators of HW: General,S  ,09/21/1989,05/16/1990,01/20/1990
ALD983187873,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,02/02/1999,06/03/1999,04/15/1999
ALD983184508,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/23/1992,03/23/1992,03/25/1992
ALD983171844,AL,262.A,Standards Applicable to Generators of HW: General,S  ,09/26/1997,01/08/1998,11/30/1997
AL0000364661,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,09/08/1992,05/05/1995,
