model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.6831474013163638,0.705860786675745,0.7272092210967517,0.11471706430106342,0.1981724728726442,0.5473789768221391
ADA Boost,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.6831474013163638,0.7054068681366644,0.7226685295144953,0.11400077139236321,0.19693508471349702,0.5468547174109785
Gradient boosting,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.6831474013163638,0.7051275336510763,0.7198742577715683,0.11355997575624001,0.1961736150770988,0.5465320962348795
Gradient boosting,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.6831474013163638,0.721643185111472,0.6925091671031954,0.21852443660807758,0.3322164516669459,0.5867603016160756
ADA Boost,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.6831474013163638,0.7191640915518777,0.6801117513532391,0.21461237533748415,0.32626905679343277,0.5838970386781978
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.6831474013163638,0.7165802475601879,0.6671905011349747,0.21053501570334454,0.3200703635449824,0.5809127927992828
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.6831474013163638,0.7301628869219086,0.656733791176813,0.3108711223758885,0.42198952879581153,0.6177534758314402
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.6831474013163638,0.7144852389182772,0.6567138117688144,0.20722904843242052,0.31504439604623885,0.5784931339785411
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.6831474013163638,0.6982489219434697,0.6510653161019909,0.10270538321670615,0.1774224252807919,0.5385875497734438
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.6831474013163638,0.697655336161595,0.6451274886482711,0.10176869248994434,0.17580430230344563,0.5379019797742336
Bagging,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.6831474013163638,0.6975156689188009,0.6437303527768076,0.10154829467188276,0.17542356748524654,0.5377406691861841
Bagging,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.6831474013163638,0.7107491401735365,0.6380303823991619,0.2013334067992727,0.30608142067347965,0.574178075748218
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.6831474013163638,0.7244365299673527,0.6376440460947503,0.3018348118353628,0.4097232610321615,0.6111397417214126
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.6831474013163638,0.6968173327048307,0.63674467341949,0.10044630558157475,0.1735198933942509,0.5369341162459369
Gradient boosting,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.6831474013163638,0.7239826114282721,0.6361308345943429,0.30111851892666264,0.4087509349289454,0.6106154823102519
ADA Boost,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.6831474013163638,0.7236683601319855,0.6350832266325224,0.300622623836024,0.4080777860882573,0.6102525334871405
Bagging,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.6831474013163638,0.7193735924160687,0.6207659178209755,0.2938453909306298,0.3988780852655198,0.6052922329046198
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.6831474013163638,0.7003788473960788,0.5861707700366684,0.1849688688081988,0.28120288155469925,0.5622007645855458
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.6831474013163638,0.7002740969639834,0.5856469355683604,0.1848035704446526,0.2809515831797621,0.5620797816445088
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.6831474013163638,0.6937795701740603,0.5354440693749273,0.25345749077084134,0.34405385190725507,0.5757320676445569
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.6831474013163638,0.692732065853105,0.5319520428355256,0.2518045071353794,0.34181002243829467,0.5745222382341859
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.6831474013163638,0.6902529722935107,0.5236875800256082,0.24789244586478593,0.3364996260284218,0.5716589752963082
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.6831474013163638,0.686167705441785,0.5151038938362145,0.16254339082043087,0.24711006868822247,0.5457874122515136
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.6831474013163638,0.6869707920878507,0.5127458968688162,0.2427130971403383,0.32946896035901274,0.5678681764771459
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.6831474013163638,0.6852249515529252,0.5103893836214423,0.16105570554851506,0.24484838331378792,0.5446985657821798
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.6831474013163638,0.6841076136105728,0.5096053091163115,0.08039010413796903,0.13887302493813058,0.5222548527334364
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.6831474013163638,0.6823966898863458,0.4924903946908837,0.07769023086671442,0.13420902341519134,0.5202787980298306
Gaussian Naive Bayes,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,{},0.1,0.6831474013163638,0.6563138322945582,0.36581107036843025,0.11543335720976362,0.1754900318311275,0.5113072740559425
Gaussian Naive Bayes,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,{},0.15,0.6831474013163638,0.642696276122139,0.36514957513677104,0.17284698881481073,0.23462976813762149,0.5167327200654681
Gaussian Naive Bayes,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,{},0.05,0.6831474013163638,0.662249690113305,0.29095354523227385,0.045897845611328446,0.07928802588996764,0.4970097457036964
