names,importances
avg_resolution_time,0.085490496
prev_violations,0.057844198
evtype_CEI,0.055083409
previous_enfs,0.047380041
previous_vio_flags,0.038457517
previous_snc_flags,0.033168267
fmp_amt,0.02635702
pmp_amt,0.019319784
state_IN,0.015863626
evtype_SNN,0.015208522
fmp_ct,0.015187048
evtype_FCI,0.014068627
state_NJ,0.012834491
evtype_NRR,0.012761144
evagency_S,0.011007086
pmp_ct,0.010951653
evtype_FRR,0.010471026
state_OH,0.01044962
naics_33,0.010308631
evagency_E,0.009907685
evtype_CAV,0.009725365
evtype_SNY,0.009516212
naics_32,0.009486786
evtype_FSD,0.008630848
state_MI,0.008265398
state_NC,0.008212005
state_KY,0.007710919
most_common_type_262,0.00741651
evtype_CSE,0.007222778
current_sncflag,0.007110317
state_FL,0.00667613
viol_60mo,0.006611038
state_IL,0.006548248
enfflag_12mo,0.006386426
viol_18mo,0.00638077
enfflag_24mo,0.006285875
viol_12mo,0.006231041
enfflag_6mo,0.006170537
viol_6mo,0.005963092
viol_24mo,0.005959899
enfflag_18mo,0.00586107
active_P,0.005780203
state_AR,0.005736732
most_common_enf_type_120.0,0.005646009
naics_56,0.005645213
enfflag_60mo,0.005573238
active_A,0.005516038
state_TN,0.005466618
h_lqg,0.005357981
evtype_FUI,0.005269238
state_CA,0.00512014
state_PA,0.005114003
active_H,0.004966657
active_S,0.00491774
most_common_type_264,0.00488464
evtype_CDI,0.004820745
current_vioflag,0.004810764
state_CO,0.004745581
fwg_1,0.004729922
naics_81,0.004709655
state_NY,0.004661548
state_PR,0.004569716
naics_42,0.004416964
viol_120mo,0.004406405
fwg_N,0.004056301
fwg_2,0.004009377
naics_48,0.003986807
enfflag_120mo,0.003746164
state_GA,0.00374192
state_WA,0.003732682
h_sqg,0.003664694
state_LA,0.00362236
state_MA,0.003587374
state_TX,0.003572612
state_MN,0.003558131
state_KS,0.003552408
scr_amt,0.003432518
h_vsqg,0.003389861
state_AL,0.003388261
naics_44,0.003380067
fwg_3,0.003282539
state_MO,0.003231719
state_VA,0.003214401
h_oth,0.003172348
state_NV,0.003056941
state_RI,0.003029053
state_CT,0.00301281
fenforce_L,0.002985797
fsc_amt,0.002953239
naics_92,0.002907246
state_VT,0.002767216
evtype_OAM,0.002740371
most_common_enf_type_110.0,0.002706141
evagency_X,0.002672863
naics_61,0.002671036
naics_54,0.002665194
state_WV,0.002590949
state_SC,0.002574853
state_MT,0.002574093
state_WI,0.002519216
h_tsdf,0.002469956
h_transporter,0.002437241
naics_22,0.002338101
scr_ct,0.002314576
transporter_N,0.002314449
fsc_ct,0.002294465
fenforce_S,0.002248583
most_common_type_XXS,0.002238509
transporter_Y,0.002217092
naics_23,0.002168138
most_common_enf_type_140.0,0.002104522
naics_62,0.0020574
state_MS,0.001933634
most_common_enf_type_210.0,0.001926611
state_MD,0.001833599
fenforce_T,0.001821906
state_OR,0.001806748
naics_49,0.001800898
most_common_type_265,0.001797836
naics_31,0.001757792
op_tsdf_S,0.001751167
state_NM,0.00175018
most_common_enf_type_310.0,0.001711884
evtype_CAC,0.001711881
fenforce_I,0.001697881
most_common_enf_agency_NONE,0.001688763
state_ME,0.001658701
state_AZ,0.001626159
state_NE,0.00161134
evtype_GME,0.001535126
most_common_enf_type_NONE,0.00152248
h_op_tsdf,0.001521041
op_tsdf_T,0.001512105
op_tsdf_L,0.001504253
evagency_B,0.001485327
naics_21,0.001442666
naics_45,0.001417148
evagency_C,0.00140354
state_NH,0.001402347
state_OK,0.001381266
state_DC,0.001378775
fenforce_H,0.001316292
state_WY,0.001313209
state_ID,0.001290773
naics_53,0.001242063
state_ND,0.001231934
most_common_type_279,0.001195005
state_IA,0.001189788
most_common_type_NON,0.001125765
most_common_type_261,0.001035306
most_common_type_263,0.000952601
naics_11,0.000916841
state_UT,0.000912718
most_common_type_270,0.000885119
state_SD,0.000867994
most_common_type_268,0.000835123
state_HI,0.000820276
state_DE,0.000697096
op_tsdf_I,0.000679898
naics_71,0.000622583
fwg_UNKNOWN,0.000580421
op_tsdf_B,0.000561771
active_C,0.000538765
fenforce_B,0.000532802
naics_51,0.000527367
most_common_enf_type_100.0,0.000506493
most_common_enf_type_170.0,0.000477209
most_common_type_273,0.000458129
most_common_enf_type_510.0,0.000351407
most_common_type_PCR,0.000321452
most_common_enf_type_130.0,0.0003132
state_AK,0.000308059
naics_52,0.000270573
evagency_L,0.000244213
op_tsdf_H,0.000238632
naics_72,0.000202942
most_common_enf_type_160.0,0.000200471
naics_55,0.000195463
most_common_type_266,0.000194663
most_common_type_FSS,0.000173726
state_GU,0.000154114
most_common_enf_type_240.0,0.000152702
state_VI,0.000146353
evagency_T,0.000129971
most_common_enf_type_820.0,0.000122325
most_common_enf_type_220.0,0.000115068
most_common_enf_type_385.0,0.000106235
most_common_enf_type_410.0,8.97E-05
most_common_enf_type_150.0,8.43E-05
most_common_enf_type_610.0,8.25E-05
most_common_enf_type_620.0,7.55E-05
most_common_enf_type_800.0,7.07E-05
most_common_enf_type_380.0,7.03E-05
most_common_type_FEA,6.64E-05
evtype_NIR,6.62E-05
state_MP,6.55E-05
most_common_enf_type_710.0,5.43E-05
most_common_enf_type_340.0,5.05E-05
most_common_enf_type_830.0,4.91E-05
most_common_enf_type_320.0,3.46E-05
most_common_enf_type_810.0,3.26E-05
most_common_enf_type_330.0,3.22E-05
state_NN,3.18E-05
most_common_enf_type_860.0,2.19E-05
most_common_enf_type_420.0,1.57E-05
transporter_UNKNOWN,1.36E-05
most_common_enf_type_230.0,9.52E-06
most_common_enf_type_250.0,6.94E-06
most_common_enf_type_730.0,6.52E-06
evagency_N,5.63E-06
state_TT,4.05E-06
state_AS,1.55E-06
most_common_enf_type_520.0,9.21E-07
most_common_enf_type_80.0,2.48E-08
sncflag_12mo,0
most_common_enf_agency_S,0
most_common_enf_agency_E,0
sncflag_120mo,0
sncflag_60mo,0
sncflag_24mo,0
sncflag_18mo,0
sncflag_6mo,0
