model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.275278624,0.750591344,0.758738278,0.137792228,0.233228512,0.560574787
ADA Boost,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.275278624,0.750037292,0.753196931,0.13678588,0.231525157,0.559880487
Gradient boosting,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.275278624,0.749781576,0.750639386,0.136321412,0.230738994,0.559560041
Random forest,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.275278624,0.748716091,0.73998295,0.134386128,0.227463312,0.55822485
Random forest,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.275278624,0.770878172,0.730818414,0.265443567,0.389437819,0.614153169
Gradient boosting,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.275278624,0.763632877,0.69458653,0.252283635,0.370130608,0.605073865
Random forest,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.275278624,0.78151171,0.689302458,0.375599938,0.486245428,0.655646715
Logistic regression,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.275278624,0.743132951,0.684143223,0.124245239,0.210298742,0.551228445
Logistic regression,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.275278624,0.743090332,0.683716965,0.124167828,0.210167715,0.551175037
Random forest,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.275278624,0.761374049,0.683290708,0.248180833,0.3641113,0.602243258
ADA Boost,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.275278624,0.759839751,0.675618073,0.245394024,0.360022714,0.600320582
