year,ID_NUMBER,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,actual,predicted
2017,ALR000038323,"ERSHIGS, INC. GRAND BAY",12050 INTERCHANGE DR,GRAND BAY,AL,36541,0,1
2017,VTR000522896,GREEN MOUNTAIN POWER SEARSBURG GENERATION FACILITY,528 SLEEPY HOLLOW ROAD,SEARSBURG,VT,5363,0,1
2017,VTR000515890,GREEN MOUNTAIN POWER CORP WILMINGTON SVC CTR,107 MAIN ST,WILMINGTON,VT,5363,0,1
2017,VTR000522573,GREEN MOUNTAIN POWER LOWELL GENERATION FACILITY,1300 EDWARD DR,LOWELL,VT,5847,1,1
2017,VTD982194698,GMP MONTPELIER SERVICE CENTER,7 GREEN MOUNTAIN DR,MONTPELIER,VT,5602,1,1
2017,SCR000004168,PATHEON API MANUFACTURING INC,309 DELAWARE ST,GREENVILLE,SC,29605,1,1
2017,IAR000509976,PECH OPTICAL CORP,2717 MURRAY ST,SIOUX CITY,IA,51111,1,1
2017,IAD007262611,SIOUX CITY FOUNDRY ,801 DIVISION ST,SIOUX CITY,IA,51105,1,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
